Timestamp,RF_result,ANN_result,cnn_pred,cnn_r2,lstm_pred,lstm_r2,rfr_pred,rfr_r2
2022-03-04T03:21:09,1,1,3638.392999,-9866802.115,1771.435337,-427885.1758,3886.416507,-84986.53075
2022-03-04T03:21:10,1,1,3620.4523,-3657822.281,1771.435337,-159966.7189,3887.148845,-77600.87482
2022-03-04T03:21:11,1,1,3621.794597,-1941024.5,1783.540971,-83512.21654,3887.252693,-71141.37707
2022-03-04T03:21:12,1,1,3566.844552,-1193071.767,1783.540971,-51456.28095,3887.252693,-65458.99497
2022-03-04T03:21:13,1,1,3640.229625,-821930.5946,1783.540971,-34910.8639,3887.252693,-60433.78891
2022-03-04T03:21:14,1,1,3605.599408,-597594.1375,1748.494625,-26057.62756,3887.252693,-55968.10355
2022-03-04T03:21:15,1,1,3469.884974,-444921.5298,1748.494625,-20180.84558,3887.252693,-51981.77721
2022-03-04T03:21:16,1,1,3508.315863,-345876.0524,1748.494625,-16081.45744,3887.252693,-48408.51123
2022-03-04T03:21:17,1,1,3491.046138,-276023.1851,1762.53568,-12995.12517,3887.252693,-45193.08905
2022-03-04T03:21:18,1,1,3520.491492,-226170.1166,1762.53568,-10714.99344,3887.252693,-42289.225
2022-03-04T03:21:19,1,1,3543.268999,-189196.4926,1762.53568,-8982.820293,3887.252693,-39657.88503
2022-03-04T03:21:20,1,1,3705.616073,-163407.2641,1769.502708,-7611.58699,3887.252693,-37265.96465
2022-03-04T03:21:21,1,1,3748.861078,-143174.0571,1769.502708,-6529.379639,3887.252693,-35085.23976
2022-03-04T03:21:22,1,1,3721.888064,-126133.2984,1769.502708,-5660.428246,3887.252693,-33091.52786
2022-03-04T03:21:23,1,1,3733.10855,-112068.1967,1777.578659,-4937.51161,3887.252693,-31264.01283
2022-03-04T03:21:24,1,1,3608.524883,-99244.52465,1777.578659,-4343.059175,3887.252693,-29584.69766
2022-03-04T03:21:25,1,1,3582.694131,-88347.16243,1777.578659,-3848.429301,3887.252693,-28037.95834
2022-03-04T03:21:26,1,1,3510.929939,-78783.17811,1777.578659,-3432.531591,3887.252693,-26610.17794
2022-03-04T03:21:27,1,1,3535.129687,-70800.48739,1755.519429,-3100.354357,3887.252693,-25289.44492
2022-03-04T03:21:28,1,1,3627.7803,-64341.93603,1755.519429,-2813.338087,3887.252693,-24065.30302
2022-03-04T03:21:29,1,1,3589.289714,-58597.42906,1719.061315,-2591.746817,3887.252693,-22928.54295
2022-03-04T03:21:30,1,1,3629.44028,-53715.87487,1718.957806,-2394.327588,3887.252693,-21871.02804
2022-03-04T03:21:31,1,1,3649.183043,-49477.00832,1742.184433,-2203.786393,3887.252693,-20885.54772
2022-03-04T03:21:32,1,1,3649.800604,-45724.46041,1742.184433,-2034.592734,3887.252693,-19965.69381
2022-03-04T03:21:33,1,1,3647.099951,-42379.21606,1757.228807,-1877.027038,3887.252693,-19105.75565
2022-03-04T03:21:34,1,1,3647.155109,-39389.96246,1757.228807,-1736.683754,3887.252693,-18300.63094
2022-03-04T03:21:35,1,1,3644.664267,-36703.42035,1757.228807,-1611.15484,3887.252693,-17545.74955
2022-03-04T03:21:36,1,1,3645.752069,-34285.80302,1757.228807,-1498.438057,3887.252693,-16837.00825
2022-03-04T03:21:37,1,1,3642.982992,-32096.79975,1757.228807,-1396.857652,3887.252693,-16170.7146
2022-03-04T03:21:38,1,1,3639.826412,-30108.08614,1757.228458,-1305.002649,3886.416507,-15543.26042
2022-03-04T03:21:39,1,1,3649.422527,-28310.98231,1789.501538,-1214.706731,3886.416507,-14951.9457
2022-03-04T03:21:40,1,1,3628.93094,-26649.26512,1789.501189,-1133.175652,3886.416507,-14394.04161
