Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,sec
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:39,0,0.234,3.074,0,0,95,40,1,1,3649.422527,4119.796923,0,5086.633406,0,3649.422527,1,31
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:40,0,0.234,3.074,0,0,95,40,1,1,3628.93094,4105.604532,0,5067.790279,0,3628.93094,1,32
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:41,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3611.750585,4106.25456,0,5072.746829,0,3611.750585,1,33
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:42,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3634.542754,4133.000657,0,5114.236898,0,3634.542754,1,34
290.1,301.7,315,319.9,320,43,2022-03-04T03:21:43,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3592.889653,4111.684491,0,5105.833316,0,3592.889653,1,35
290.1,301.7,315,319.9,320,43,2022-03-04T03:21:44,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3622.937557,4133.427958,0,5140.812285,0,3622.937557,1,36
290,301.7,315,319.9,320,43,2022-03-04T03:21:45,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3556.651473,4108.405028,0,5125.38931,0,3556.651473,1,37
290,301.7,315,319.9,320,43,2022-03-04T03:21:46,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3535.081161,4082.349454,0,5087.044998,0,3535.081161,1,38
290,301.7,315,319.9,320,43,2022-03-04T03:21:47,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3469.617911,4035.439925,0,5070.107967,0,3469.617911,1,39
290,301.7,315,319.9,320,43,2022-03-04T03:21:48,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3526.507916,4074.677589,0,5101.518416,0,3526.507916,1,40
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:49,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3493.278994,4047.060133,0,5067.387764,0,3493.278994,1,41
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:50,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3572.731459,4115.505412,0,5090.511929,0,3572.731459,1,42
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:51,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3711.299802,4251.63842,0,5241.511095,0,3711.299802,1,43
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:52,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3673.98569,4210.314872,0,5208.277985,0,3673.98569,1,44
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:53,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3722.288484,4265.942873,0,5253.349841,0,3722.288484,1,45
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:54,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3657.916526,4192.691507,0,5184.16656,0,3657.916526,1,46
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:55,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3548.072642,4063.445583,0,5054.935996,0,3548.072642,1,47
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:56,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3526.245042,4031.067772,0,5030.009767,0,3526.245042,1,48
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:57,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3509.923478,3978.671757,0,4971.806091,0,3509.923478,1,49
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:58,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3611.353307,4084.532737,0,5057.581839,0,3611.353307,1,50
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:59,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3602.584215,4071.796101,0,5059.491427,0,3602.584215,1,51
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:22:00,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3622.128339,4080.194098,0,5072.886819,0,3622.128339,1,52
290,301.8,315,319.9,319.9,43,2022-03-04T03:22:01,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3638.675074,4096.102675,0,5074.400525,0,3638.675074,1,53
290,301.7,315,319.9,319.9,43,2022-03-04T03:22:02,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3636.475033,4093.411447,0,5071.602472,0,3636.475033,1,54
290,301.7,315,319.9,319.9,43,2022-03-04T03:22:03,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,3636.816455,4092.755485,0,5070.675956,0,3636.816455,1,55
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:04,0,0.234,3.074,0,1.41334462,95,40,1,1,3637.471719,4092.941556,0,5071.750492,0,3637.471719,1,56
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:05,0,0.234,3.074,0,1.41334462,95,40,1,1,3635.310429,4096.498556,0,5068.804071,0,3635.310429,1,57
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:06,0,0.234,3.052,0,0,95,40,1,1,3600.32762,4070.197564,0,5037.921813,0,3600.32762,1,58
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:07,0,0.234,3.052,0,0,95,40,1,1,3590.596053,4076.30999,0,5051.118915,0,3590.596053,1,59
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:08,1479.22241,0.234,3.052,0.8957977,0,95,40,1,1,3628.962359,4109.261724,1,5087.412602,0,3628.962359,1,60
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:09,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3578.759751,4089.04872,1,5083.163682,0,3578.759751,1,61
290.1,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:10,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3635.478696,4154.546532,1,5155.128608,0,3635.478696,1,62
290.1,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:11,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3579.8877,4126.399488,1,5159.177492,0,3579.8877,1,63
290.1,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:12,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3504.889427,4063.693794,1,5094.4107,0,3504.889427,1,64
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:13,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3578.466506,4145.189552,1,5180.139668,0,3578.466506,1,65
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:14,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3514.675454,4078.319072,1,5107.475143,0,3514.675454,1,66
290,301.6,314.9,319.9,319.9,43,2022-03-04T03:22:15,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3559.686566,4103.296968,1,5138.077071,0,3559.686566,1,67
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:16,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3550.091498,4101.390522,1,5106.272486,0,3550.091498,1,68
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:17,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3638.818904,4196.301221,1,5190.998136,0,3638.818904,1,69
289.9,301.7,315.1,319.9,319.9,43,2022-03-04T03:22:18,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3663.175398,4213.6858,1,5216.077272,0,3663.175398,1,70
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:19,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3656.363372,4204.872372,1,5215.596558,0,3656.363372,1,71
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:20,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3756.702257,4298.115761,1,5306.812013,0,3756.702257,1,72
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:21,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3639.422501,4148.844999,1,5138.185991,0,3639.422501,1,73
289.8,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:22,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3573.468762,4090.863352,1,5091.325337,0,3573.468762,1,74
289.8,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:23,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3481.19483,3976.991529,1,4977.860567,0,3481.19483,1,75
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:24,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3500.77561,3950.375647,1,4938.284972,0,3500.77561,1,76
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:25,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3577.48518,4040.440461,1,5021.699744,0,3577.48518,1,77
289.9,301.7,314.9,319.9,319.9,43,2022-03-04T03:22:26,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3582.263688,4042.529488,1,5038.504465,0,3582.263688,1,78
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:27,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3632.117193,4080.964915,1,5080.555541,0,3632.117193,1,79
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:28,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3626.328036,4076.549474,1,5062.614144,0,3627.301332,1,80
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:29,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3625.84802,4080.324662,1,5065.45758,0,3631.077219,1,81
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:30,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3615.514253,4077.908179,1,5062.668604,0,3628.660386,1,82
289.9,301.7,314.9,319.9,319.9,44,2022-03-04T03:22:31,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3609.018164,4078.290794,1,5063.30013,0,3629.043351,1,83
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:32,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3602.102105,4079.296208,1,5064.406085,0,3630.048066,1,84
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:33,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3596.164928,4079.442133,1,5064.237817,0,3630.193642,1,85
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:34,1479.22241,0.234,3.052,0.8957977,1.41334462,95,40,1,1,3584.449764,4078.273339,1,5063.029925,0,3629.025895,1,86
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:35,0,0.234,3.052,0,1.41334462,95,40,1,1,3569.616073,4075.008538,0,5060.189631,0,3625.761443,1,87
289.9,301.7,315,319.9,319.9,44,2022-03-04T03:22:36,0,0.234,3.106,0,0,95,40,1,1,3551.913811,4079.745851,0,5058.442376,0,3623.260477,1,88
290,301.7,315,319.9,319.9,44,2022-03-04T03:22:37,0,0.234,3.106,0,0,95,40,1,1,3516.993491,4064.036263,0,5036.387859,0,3598.913757,1,89
290,301.7,314.9,319.9,320,44,2022-03-04T03:22:38,1476.58008,0.234,3.106,0.904857635,0,95,40,1,1,3488.281949,4067.851249,1,5047.222588,0,3585.559559,1,90
290,301.7,314.9,319.9,320,44,2022-03-04T03:22:39,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3530.291832,4124.998891,0,5116.85621,0,3635.678033,1,91
290,301.6,314.9,319.9,320,44,2022-03-04T03:22:40,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3477.512852,4107.778739,0,5117.616205,0,3599.114141,1,92
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:41,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3497.608557,4131.04429,0,5149.007105,0,3628.243209,1,93
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:42,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3397.29341,4094.163762,0,5123.403618,0,3551.351757,1,94
290,301.6,314.9,319.9,319.9,44,2022-03-04T03:22:43,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3434.990138,4134.749658,0,5151.495853,0,3595.304042,1,95
290,301.6,314.9,320,319.9,44,2022-03-04T03:22:44,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3317.05791,4056.240467,0,5099.421709,0,3496.593718,1,96
290,301.6,314.9,320,319.9,44,2022-03-04T03:22:45,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3344.499419,4066.99176,0,5106.372329,0,3527.861035,1,97
289.9,301.8,314.9,320,319.9,44,2022-03-04T03:22:46,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3346.138802,4079.337053,0,5106.591566,0,3534.888457,1,98
289.9,301.8,315,320,319.9,44,2022-03-04T03:22:47,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3361.519536,4082.959684,0,5064.32998,0,3549.832814,1,99
289.9,301.8,315,320,319.9,44,2022-03-04T03:22:48,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3507.585891,4230.609216,0,5222.338415,0,3695.776983,1,100
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:49,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3431.073214,4153.04679,0,5152.456581,0,3621.992189,1,101
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:50,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3549.713421,4277.561335,0,5266.097648,0,3741.254845,1,102
289.8,301.6,315,320,319.9,44,2022-03-04T03:22:51,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3503.32964,4225.891103,0,5212.714372,0,3696.550593,1,103
289.8,301.7,315,320,319.9,44,2022-03-04T03:22:52,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3391.042391,4071.588037,0,5059.028518,0,3561.998668,1,104
289.8,301.7,315,319.9,319.9,44,2022-03-04T03:22:53,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3346.133914,4009.565535,0,5003.627433,0,3510.776683,1,105
289.8,301.7,315,319.9,319.9,44,2022-03-04T03:22:54,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3353.361023,3975.858693,0,4962.661715,0,3511.272059,1,106
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:55,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3416.250345,4038.662136,0,5003.16208,0,3571.195759,1,107
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:56,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3418.547436,4042.045283,0,5021.083229,0,3576.622898,1,108
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:57,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3467.559257,4078.551224,0,5062.429469,0,3625.581306,1,109
289.8,301.7,314.9,319.9,320.1,44,2022-03-04T03:22:58,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3469.802586,4080.675161,0,5050.062881,0,3625.828471,1,110
289.8,301.7,314.9,319.9,320,44,2022-03-04T03:22:59,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3473.08973,4084.67168,0,5054.215449,0,3629.037416,1,111
289.8,301.7,314.9,319.9,320,44,2022-03-04T03:23:00,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3475.007696,4087.681637,0,5057.121723,0,3630.930945,1,112
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:01,1476.58008,0.234,3.106,0.904857635,1.41334462,95,40,1,1,3476.148561,4089.011715,0,5058.38233,0,3631.961843,1,113
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:02,0,0.234,3.144,0,0,95,40,1,1,3475.90035,4089.158338,0,5058.606105,0,3631.300295,1,114
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:03,0,0.234,3.144,0,0,95,40,1,1,3484.663158,4110.287385,0,5073.117575,0,3646.014593,1,115
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:04,0,0.234,3.144,0,0,95,40,1,1,3459.283795,4097.084349,0,5054.539765,0,3624.257861,1,116
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:05,0,0.234,3.144,0,0,95,40,1,1,3442.479772,4103.973876,0,5068.144967,0,3614.680598,1,117
289.9,301.6,314.9,319.9,320,44,2022-03-04T03:23:06,0,0.234,3.144,0,1.41334462,95,40,1,1,3460.370898,4116.077241,0,5082.125802,0,3628.134289,1,118
290,301.7,314.9,319.9,320,44,2022-03-04T03:23:07,0,0.234,3.144,0,1.41334462,95,40,1,1,3373.266119,4059.618029,0,5024.326387,0,3549.633826,1,119
290,301.7,314.9,320,320,44,2022-03-04T03:23:08,1475.49207,0.234,3.144,0.883340359,1.41334462,95,40,1,1,3361.173925,4061.377502,0,5023.072063,0,3546.142806,1,120
290,301.7,314.9,320,320,44,2022-03-04T03:23:09,1475.49207,0.234,3.144,0.883340359,1.41334462,95,40,1,1,3345.52543,4122.481517,0,5120.124852,0,3546.542528,1,121
290,301.6,314.9,320,320.1,44,2022-03-04T03:23:10,1475.49207,0.234,3.144,0.883340359,1.41334462,95,40,1,1,3328.346471,4133.363723,0,5133.390028,0,3535.053931,1,122
290,301.6,314.9,320.1,320.1,44,2022-03-04T03:23:11,1475.49207,0.234,3.144,0.883340359,1.41334462,95,40,1,1,3258.688761,4074.207349,0,5118.800359,0,3469.446153,1,123
