Cylinder heating zone 1,Cylinder heating zone 2,Cylinder heating zone 3,Cylinder heating zone 4,Cylinder heating zone 5,Temperature of support housing,Timestamp,sec,Maximum injection pressure,Injection time,Dosage time,Material cushion,Switch-over volume,Mould temperature control unit 1,Oil temperature,RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c
289.9,301.7,315,320,320,43,2022-03-04T03:21:23,25,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1757.228807,1452.889803,2115.253814,0,2700.700071,0,1757.228807,1
289.9,301.7,315,320,320,43,2022-03-04T03:21:24,26,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1757.228807,1452.889803,2115.253814,0,2700.700071,0,1757.228807,1
289.9,301.8,315,319.9,320,43,2022-03-04T03:21:25,27,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1757.228807,1452.889803,2115.253814,0,2700.700071,0,1757.228807,1
289.9,301.8,315,319.9,320,43,2022-03-04T03:21:26,28,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1757.228807,1452.889803,2115.253814,0,2700.700071,0,1757.228807,1
289.9,301.8,315,319.9,320,43,2022-03-04T03:21:27,29,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1757.228807,1452.889803,2115.253814,0,2700.700071,0,1757.228807,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:28,30,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1757.228458,1452.889803,2115.253814,0,2700.700071,0,1757.228458,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:29,31,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1789.501538,1477.397066,2146.542775,0,2731.813783,0,1789.501538,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:30,32,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1789.501189,1477.397323,2146.542775,0,2731.813958,0,1789.501189,1
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:31,33,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1777.402362,1459.814146,2134.739987,0,2719.980623,0,1777.402362,1
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:32,34,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1759.684041,1470.127839,2118.123083,0,2704.252882,0,1759.684041,1
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:33,35,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1759.684041,1470.127839,2118.123083,0,2704.252882,0,1759.684041,1
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:34,36,1476.26917,0.234,3.088,0.8890028,1.41334462,95,40,1,1,1759.684041,1470.127839,2118.123083,0,2704.252882,0,1759.684041,1
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:35,37,1476.26917,0.234,3.074,0.8890028,1.41334462,95,40,1,1,1748.325834,1431.578548,2106.320644,0,2691.925568,0,1748.325834,1
290,301.7,314.9,319.9,320,43,2022-03-04T03:21:36,38,1476.26917,0.234,3.074,0.8890028,1.41334462,95,40,1,1,1748.325834,1431.578548,2106.320644,0,2691.925568,0,1748.325834,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:37,39,1476.26917,0.234,3.074,0.8890028,1.41334462,95,40,1,1,1748.325834,1431.578548,2106.320644,0,2691.925568,0,1748.325834,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:38,40,0,0.234,3.074,0,0,95,40,1,1,1763.368987,1464.355074,2121.566101,0,2706.931541,0,1763.368987,1
290,301.7,315,319.9,320.1,43,2022-03-04T03:21:39,41,0,0.234,3.074,0,0,95,40,1,1,1763.368987,1464.355074,2121.566101,0,2706.931541,0,1763.368987,1
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:40,42,0,0.234,3.074,0,0,95,40,1,1,1763.368987,1464.355074,2121.566101,0,2706.931541,0,1763.368987,1
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:41,43,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1737.220901,1500.291453,2095.603214,0,2682.029051,0,1737.220901,1
290.1,301.7,314.9,319.9,320,43,2022-03-04T03:21:42,44,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1737.220901,1500.291453,2095.603214,0,2682.029051,0,1737.220901,1
290.1,301.7,315,319.9,320,43,2022-03-04T03:21:43,45,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1737.220901,1500.291453,2095.603214,0,2682.029051,0,1737.220901,1
290.1,301.7,315,319.9,320,43,2022-03-04T03:21:44,46,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1737.220901,1500.291453,2095.603214,0,2682.029051,0,1737.220901,1
290,301.7,315,319.9,320,43,2022-03-04T03:21:45,47,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1742.706165,1494.103801,2101.343148,0,2688.288624,0,1742.706165,1
290,301.7,315,319.9,320,43,2022-03-04T03:21:46,48,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1742.706165,1494.103801,2101.343148,0,2688.288624,0,1742.706165,1
290,301.7,315,319.9,320,43,2022-03-04T03:21:47,49,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1762.712152,1443.094077,2120.992003,0,2706.958247,0,1762.712152,1
290,301.7,315,319.9,320,43,2022-03-04T03:21:48,50,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1739.646985,1369.846656,2092.40125,0,2676.410429,0,1739.646985,1
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:49,51,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1739.646985,1369.846656,2092.40125,0,2676.410429,0,1739.646985,1
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:50,52,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1709.533799,1410.167803,2062.836154,0,2646.45975,0,1709.533799,1
289.9,301.7,315,319.9,319.9,43,2022-03-04T03:21:51,53,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1730.588836,1504.62186,2089.333691,0,2676.422997,0,1730.588836,1
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:52,54,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1730.588836,1504.62186,2089.333691,0,2676.422997,0,1730.588836,1
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:53,55,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1744.634954,1466.340271,2103.304403,0,2689.486218,0,1744.634954,1
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:54,56,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1744.634954,1466.340271,2103.304403,0,2689.486218,0,1744.634954,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:55,57,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1756.743904,1460.070309,2115.305481,0,2701.337008,0,1756.743904,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:56,58,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1756.743904,1460.070309,2115.305481,0,2701.337008,0,1756.743904,1
289.9,301.7,315,319.9,320,43,2022-03-04T03:21:57,59,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1756.743904,1460.070309,2115.305481,0,2701.337008,0,1756.743904,1
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:58,60,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1756.743904,1460.070309,2115.305481,0,2701.337008,0,1756.743904,1
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:21:59,61,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1762.888099,1470.91043,2121.622306,0,2707.57319,0,1762.888099,1
289.9,301.8,315,319.9,319.9,43,2022-03-04T03:22:00,62,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1762.887924,1470.91043,2121.622132,0,2707.57319,0,1762.887924,1
290,301.8,315,319.9,319.9,43,2022-03-04T03:22:01,63,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1762.887924,1470.91043,2121.622132,0,2707.57319,0,1762.887924,1
290,301.7,315,319.9,319.9,43,2022-03-04T03:22:02,64,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1747.843724,1439.120093,2106.375802,0,2692.56617,0,1747.843724,1
290,301.7,315,319.9,319.9,43,2022-03-04T03:22:03,65,1475.18127,0.234,3.074,0.8867378,1.41334462,95,40,1,1,1747.843724,1439.120093,2106.375802,0,2692.56617,0,1747.843724,1
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:04,66,0,0.234,3.074,0,1.41334462,95,40,1,1,1747.843724,1439.120093,2106.375802,0,2692.56617,0,1747.843724,1
290.1,301.6,315.1,319.9,319.9,43,2022-03-04T03:22:05,67,0,0.234,3.074,0,1.41334462,95,40,1,1,1768.85076,1454.777048,2127.303766,0,2713.183608,0,1768.85076,1
