"Cylinder heating zone 1","Cylinder heating zone 2","Cylinder heating zone 3","Cylinder heating zone 4","Cylinder heating zone 5","Temperature of support housing",Timestamp,"Maximum injection pressure","Injection time","Dosage time","Material cushion","Switch-over volume","Mould temperature control unit 1","Oil temperature",RF_result,ANN_result,lstm_pred_err1,lstm_pred_err2,lstm_err1_act_a,ANN_result_act_a,lstm_err1_act_b,ANN_result_act_b,lstm_err1_act_c,ANN_result_act_c,Act_a_optimal,Act_b_optimal,Act_c_optimal,Best_optimal
289.9,301.8,315.0,319.9,320.0,43,2022-03-04T03:20:58,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435336750537,1433.1268072128296,2130.0583551826176,1,,0,,1,725.7976375617565,625.2702088747463,678.4375765117251,2130.0583551826176
289.9,301.8,315.0,319.9,320.0,43,2022-03-04T03:20:59,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435336750537,1433.1268072128296,2130.0583551826176,1,,0,,1,752.1010257404438,636.849421839694,686.778272642418,2130.0583551826176
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:00,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1771.435336750537,1433.1268072128296,2130.0583551826176,1,,0,,1,707.2121934900151,644.0142663992285,694.6579562278896,2130.0583551826176
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:01,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.5409708893299,1431.5764968395233,2142.090503358692,1,,0,,1,735.8639737029343,601.280327694169,684.0007855418631,2142.090503358692
289.9,301.7,314.9,319.9,320.1,43,2022-03-04T03:21:02,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.5409708893299,1431.5764968395233,2142.090503358692,1,,0,,1,762.7809469064894,619.1077281545532,699.6656401453338,2142.090503358692
289.9,301.7,315.0,319.9,320.0,43,2022-03-04T03:21:03,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1783.5409708893299,1431.5764968395233,2142.090503358692,1,,0,,1,737.025252710305,650.8105633310987,679.3490805127201,2142.090503358692
289.9,301.7,315.0,319.9,320.0,43,2022-03-04T03:21:04,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.49462505877,1445.710834980011,,1,,0,1748.49462505877,1,654.9188877034311,600.4955962419011,673.2422728706862,1748.49462505877
289.9,301.7,315.0,319.9,320.0,43,2022-03-04T03:21:05,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.49462505877,1445.710834980011,2107.2080608986616,1,,0,,1,738.8752314403414,614.1885298667195,690.0696566018162,2107.2080608986616
289.9,301.7,315.0,319.9,320.0,43,2022-03-04T03:21:06,1498.34021,0.234,3.052,0.922977448,1.41334462,95,40,1,1,1748.49462505877,1445.710834980011,2107.2080608986616,1,,0,,1,738.6814869130324,581.5923943881689,688.6567689042112,2107.2080608986616
289.9,301.7,315.0,319.9,320.0,43,2022-03-04T03:21:07,0.0,0.234,3.052,0.0,0.0,95,40,1,1,1762.5356804674564,1409.7970207929611,2121.159048001498,0,,0,,1,728.5088338331858,614.0744597609348,663.5585232982879,2121.159048001498
